Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
"The product shall maintain a player list.", 1,1,1,1,1,1,1,1,1
"The product shall allow a user to identify themselves as a player.", 1,1,1,1,1,1,1,1,1
"When a game starts, the product shall make assigned players unselectable from the player list.", 1,1,1,1,1,1,1,1,1
"The product shall allow a user to remove themselves from the player list at any time.", 1,1,1,1,1,1,1,1,1
"The product shall make inactive players unselectable from the player list.", 1,1,1,1,1,1,1,1,1
"The product shall remove players inactive for 24 hours from the player list.", 1,1,1,1,1,1,1,1,1
"The product shall allow a player to start a game by selecting another existing player.", 1,1,1,1,1,1,1,1,1
"When a game starts, the product shall display a defense grid to each player.", 1,1,0,1,1,1,1,0,0
"The product shall allow each player to place their 5 ships on their defense grid at the start of the game.", 1,1,1,1,1,1,1,1,1
"The product shall allow a player to place their ships horizontally on the grid",1,1,1,1,1,1,1,1,1
"The product shall allow a player to place their ships vertically on the grid",1,1,1,1,1,1,1,1,1
"The product shall allow a player to place their ships diagonally on the grid",1,1,1,0,1,1,1,0,0
"The product shall prevent ships from overlapping on a player’s grid",1,1,1,1,1,1,1,1,1
"When both players have placed their 5 ships on their defense grids, the product shall determine the initial turn state for each player",1,1,1,1,1,1,1,1,1
"Each turn, the product shall designate one player as attacking and one player as defending",1,1,1,1,1,1,1,1,1
"The product shall maintain each player’s state (attack or defense) throughout their turn",1,1,1,1,1,1,1,1,1
"At the beginning of each turn, the product shall inform each player of their current state",1,1,1,1,1,1,1,1,1
"For each turn, the product shall allow the attacking player to declare a shot",1,1,1,1,1,1,1,1,1
"For each shot, the product shall inspect the defending player’s grid to determine hit or miss",1,1,1,1,1,1,1,1,1
"For each shot, the product shall notify players whether the shot was a hit or miss",1,1,1,1,1,1,1,1,1
"For each shot, the product shall mark the shot as hit or miss on the defending player’s grid",1,1,1,1,1,1,1,1,1
"For each shot, the product shall mark the shot as hit or miss on the attacking player’s grid",1,1,1,1,1,1,1,1,1
"If a shot sinks a ship, the product shall notify players of the sunk ship",1,1,1,1,1,1,1,1,1
"If a shot sinks a ship, the product shall mark the ship as sunk on the defending player’s grid",1,1,1,1,1,1,1,1,1
"If a shot sinks a ship, the product shall display the type of the sunk ship on the defending player’s grid",1,1,0,1,1,1,1,0,0
"If a shot sinks a ship, the product shall mark the ship as sunk on the attacking player’s grid",1,1,1,1,1,1,1,1,1
"If a shot is marked as a hit, the product shall allow the attacking player to declare the next shot",1,1,1,1,1,1,1,1,1
"If a shot is missed, the product shall switch the attacking player’s state to defense",1,1,1,1,1,1,1,1,1
"If a shot is missed, the product shall switch the defending player’s state to attack",1,1,1,1,1,1,1,1,1
"The product shall continue turn assignments until the game ends",1,1,1,1,1,1,1,1,1
"The product shall end the game if the last ship of the defending player is sunk by the attacking player’s shot",1,1,1,1,1,1,1,1,1
"The product shall allow players to end the game at any time",1,1,1,1,1,1,1,1,1
"When the game ends, the product shall notify players that the game is over",1,1,1,1,1,1,1,1,1
"When the game ends, the notification shall include the reason (e.g., a player won or a player ended the game)",1,1,1,1,1,1,1,1,1
"When the game ends, the product shall allow each player to remain listed as a current player",1,1,1,1,1,1,1,1,1
"When the game ends, the product shall allow each player to remove themselves from the player list",1,1,1,1,1,1,1,1,1
"The system shall be easy to use by callers and supervisors; all tasks shall be completable within 2 minutes",1,1,1,1,1,1,1,1,1
"The system shall be easy to learn by callers and supervisors; usage shall be learned within 10 minutes",1,1,1,1,1,1,1,1,1
"The system shall be responsive; while a supervisor views a caller’s schedule at the DePaul TeleServices Center, response time shall not exceed 2 seconds for 90% of cases and 5 seconds for the remaining 10%",1,1,1,1,1,1,1,1,1
"For a 56k connection, response time for all operations shall not exceed 6 seconds for 90% of cases",1,1,1,1,1,1,1,1,1
"For a 112k or faster connection, response time for all operations shall not exceed 3 seconds for 90% of cases",1,1,1,1,1,1,1,1,1
"The system shall be highly available year-round; it shall be usable from 12:00AM to 6:00PM",1,1,1,1,1,1,1,1,1
"The system shall be usable from 7:00AM to 11:59PM year-round",1,1,1,1,1,1,1,1,1
"The product shall be browser-independent; it shall run on Internet Explorer and Netscape Navigator",1,1,1,1,1,1,1,1,1
"The system shall ensure only supervisors can post availability",1,1,1,1,1,1,1,1,1
"The product shall allow only supervisors to enter caller schedules; supervisors shall access availability posts",1,1,1,1,1,1,1,1,1
"The product shall allow only supervisors to view all caller schedules; supervisors shall access availability posts",1,1,1,1,1,1,1,1,1
"The interface shall have a simple appearance; 90% of beta testers shall report it is sufficiently simple",1,1,1,1,1,1,1,1,1
"The interface shall be attractive to callers and supervisors; 80% of beta testers shall find the interface attractive",1,1,1,1,1,1,1,1,1
"The product shall provide GUI-based Monitoring Services; system administrators shall monitor messages, predict and detect issues, and provide internal/external support",1,1,1,1,1,1,1,0,1
"The product shall comply with the Chicago City Application Development Guide; it shall provide a structured GUI",1,1,1,1,1,1,1,0,1
"The product shall provide Monitoring Services; system administrators and DBAs shall easily use the system after 2 weeks of use",1,1,1,1,1,1,1,0,1
"The product shall provide Error Tracking Services; system administrators and DBAs shall resolve operational errors with 99% accuracy",1,1,1,1,1,1,1,0,1
"The product shall provide Portals; system administrators shall analyze operations via ad-hoc reporting and KPIs",1,1,1,1,1,1,1,0,1
"The product shall provide Asynchronous Messaging; it shall enable parallel processing and reduce communication load",1,1,1,1,1,1,1,0,1
"The product shall provide Multi-threading and Load Balancing; it shall manage data loads and traffic fluctuations",1,1,1,1,1,1,1,0,1
"The product shall process messages within 2 seconds; the maximum message processing time shall be 2 seconds",1,1,1,1,1,1,1,1,1
"The product shall check the system for new messages every second; at most every 1 second",1,1,1,1,1,1,1,0,1
"The product shall provide Dynamic Change Support and Transparent Resource Addition; scalability shall be maintained without downtime for more than 1 day",1,1,1,1,1,1,1,0,1
"The product shall be 99% available; to prevent service disruption during peak customer service periods; 99.99% available during normal workdays",1,1,1,1,1,1,1,0,1
"The product shall be resilient; it shall use standard error prevention techniques",1,1,1,1,1,1,1,0,1
"The product shall be resilient and fault-tolerant; it shall provide fault tolerance via recovery techniques, compensating actions, and routing",1,1,1,1,1,1,1,0,1
"The product shall handle all operations; a minimum of 1 million transactions shall be processed annually",1,1,1,1,1,1,1,1,1
"The product shall be platform-independent; it shall support any development environment and platform",1,1,1,1,1,1,1,1,1
"The product shall interface with CSR and Datastream; message exchange shall occur without direct interfacing between the two systems",1,1,1,1,1,1,1,0,1
"The product shall continue operation during upgrades, changes, or new resource additions; it shall function without service interruption",1,1,1,1,1,1,1,0,1
"The product shall be regularly updated; new major features every six months and quarterly maintenance releases every six months",1,1,1,1,1,1,1,0,1
"The product shall run on all platforms; new technologies shall be applied without architectural changes",1,1,1,1,1,1,1,0,1
"The product shall be secure; it shall provide authentication and authorization",1,1,1,1,1,1,1,1,1
"The product shall provide information security; it shall ensure confidentiality via encryption, WS-Security, and integrity checks",1,1,1,1,1,1,1,1,1
"The product shall provide audit capabilities; messages shall be retained for at least one year for auditing and transaction tracking",1,1,1,1,1,1,1,1,1
"The system shall use IBM and CCR standards; the interface shall display an IBM and a CCR logo",1,1,1,1,1,1,1,0,1
"The system shall be viewable on any computer used by a CCR user; the interface shall be formatted for 800x600 resolution",1,1,1,1,1,1,1,0,1
"The system interface shall use CCR naming; the same naming as in the existing WCS system and reports shall be used",1,1,1,1,1,1,1,0,1
"The interface shall summarize data attractively for CCR management; each report type shall show at least one top-level summary in the results panel",1,1,1,1,1,1,1,0,1
"The system shall use point-and-click interface; all selection and navigation functions shall be 100% accessible via mouse or keyboard",1,1,1,1,1,1,1,1,1
"The interface shall be easy to use; 90% of users shall generate a report on first use, and IBM usability standards shall be met",1,1,1,1,1,1,1,1,1
"Reports shall be easily generated; one-button creation and one-button export",1,1,1,1,1,1,1,1,1
"Users shall quickly understand the system without instructions; after one use, 90% of the system shall be understandable and memorable",1,1,1,1,1,1,1,1,1
"All CCR users shall be trained before WCS system deployment; one training session shall cover all users",1,1,1,1,1,1,1,1,1
"The WCS system shall use appropriate terminology and naming; all interfaces and reports shall pass usability tests by CCR users",1,1,1,1,1,1,1,1,1
"The WCS system shall always be available; 95% availability if IBM internal intranet is W3 accessible",1,1,1,1,1,1,1,0,1
"The WCS system shall connect to other designated WCS databases",1,1,1,1,1,1,1,1,1
"The WCS system shall allow data inclusion from outside the U.S. and access from outside the U.S. if approved by CCR management",1,1,1,1,1,1,1,0,1
"The WCS system shall run in Windows; accessible via Internet on IBM computers with Windows 2000 or later",1,1,1,1,1,1,1,0,1
"The WCS Brio component shall export files in Microsoft Excel and Lotus 1-2-3 formats; the interface shall have buttons producing .xls or .123 reports",1,1,1,1,1,1,1,0,1
"The WCS system shall run queries on specific days to update data for CCR users; queries for external databases shall run once per week",1,1,1,1,1,1,1,0,1
"All changes, updates, and additions to the WCS system shall be reflected in WCS Developer and User Guides; each change shall be documented",1,1,1,1,1,1,1,0,1
"The system shall be accessible only by authorized CCR staff; users shall be authenticated via IBM intranet username and password",1,1,1,1,1,1,1,1,1
"The WCS system shall not allow automatic login for any user; cookies containing WCS credentials shall not be stored on the user’s computer",1,1,1,1,1,1,1,1,1
"Each team owner shall be authenticated via username and password to access the team owner page",1,1,1,1,1,1,1,1,1
"The commissioner shall be the only authorized user to modify league settings",1,1,1,1,1,1,1,1,1
"Each page shall include a navigation menu showing the directory of the current page",1,1,1,1,1,1,1,0,1
"Each page shall have a consistent format with action elements in one area and navigation buttons in another",1,1,1,1,1,1,1,0,1
"The message board on the league page shall show the 5 most recent messages; messages shall display the first 150 characters of content",1,1,1,1,1,1,1,0,1
"A new user shall navigate league and team pages within 30 seconds after reaching the startup page",1,1,1,1,1,1,1,1,1
"Users shall access 'add', 'drop', and 'trade player' pages from the team owner page with a single click",1,1,1,1,1,1,1,1,1
"Users shall view at least 25 NFL player stats and points on each page",1,1,1,1,1,1,1,1,1
"The application shall prompt the user for confirmation before removing or trading a player",1,1,1,1,1,1,1,1,1
"The application shall complete each user transaction within a quarter of a second over the network",1,1,1,1,1,1,1,1,1
"The application’s annual maximum downtime shall be 10 minutes",1,1,1,1,1,1,1,0,1
"The application shall run on a web application server",1,1,1,1,1,1,1,0,1
"Maximum wait time for navigation between screens in the Disputes application shall not exceed 5 seconds",1,1,1,1,1,1,1,1,1
"The Disputes application shall support 350 concurrent users without performance degradation",1,1,1,1,1,1,1,1,1
"The Disputes application shall be available 24x7x365; except for planned maintenance hours: Mon-Sat 03:00-04:00 EST, Sun 01:00-05:00 EST",1,1,1,1,1,1,1,0,1
"The Disputes application shall interface with the Statement Database; all transaction details shall be obtained from Statement Database",1,1,1,1,1,1,1,0,1
"A primary database shall be used to store cached data for active users",1,1,1,1,1,1,1,0,1
"The system shall provide 95% uptime",1,1,1,1,1,1,1,0,1
"The system shall have a professional appearance",1,1,1,1,1,1,1,0,1
"Product shall have a consistent color scheme and fonts",1,1,1,1,1,1,1,0,1
"System shall be usable by real estate agents without any training",1,1,1,1,1,1,1,0,1
"System shall be intuitive and self-explanatory",1,1,1,1,1,1,1,0,1
"Product shall be easy to learn for a real estate agent",1,1,1,1,1,1,1,0,1
"Product shall use symbols and words naturally understandable by the real estate community",1,1,1,1,1,1,1,0,1
"Product shall produce search results within an acceptable time frame",1,1,1,1,1,1,1,0,1
"Search results shall be returned within 30 seconds after the user enters search criteria",1,1,1,1,1,1,1,1,1
"Product shall generate CMA report within an acceptable time frame",1,1,1,1,1,1,1,0,1
"CMA report shall be returned within 60 seconds after user enters CMA report criteria",1,1,1,1,1,1,1,1,1
"Product shall perform person and appointment synchronization within an acceptable time",1,1,1,1,1,1,1,0,1
"Product shall synchronize with office system every hour",1,1,1,1,1,1,1,1,1
"Product shall be available 24/7",1,1,1,1,1,1,1,0,1
"System shall be usable 999 times out of 1000 accesses",1,1,1,1,1,1,1,1,1
"Product shall operate in offline mode when internet connection is unavailable",1,1,1,1,1,1,1,1,1
"Product shall allow user to view previously downloaded search results, CMA reports, and appointments",1,1,1,1,1,1,1,1,1
"Product shall preserve user preferences in case of a failure",1,1,1,1,1,1,1,1,1
"100% of saved user preferences shall be restored when system is online",1,1,1,1,1,1,1,1,1
"Product shall support multiple remote users",1,1,1,1,1,1,1,0,1
"Product shall support 1000 concurrent users",1,1,1,1,1,1,1,0,1
"Product shall support 1000 existing users; expected to increase fivefold within next year",1,1,1,1,1,1,1,0,1
"Product shall be installable by an untrained real estate agent without printed instructions",1,1,1,1,1,1,1,0,1
"90% of untrained agents shall be able to install the product without printed instructions",1,1,1,1,1,1,1,1,1
"Product is expected to operate on Windows CE and Palm OS",1,1,1,1,1,1,1,0,1
"Only registered real estate agents shall access the system",1,1,1,1,1,1,1,1,1
"All system users shall be authenticated and authorized",1,1,1,1,1,1,1,1,1
"Product shall prevent incorrect data entry",1,1,1,1,1,1,1,1,1
"System shall allow a real estate agent to query MLS information",1,1,1,1,1,1,1,0,1
"User shall be able to obtain directions to a selected property",1,1,1,1,1,1,1,0,1
"User shall be able to download appointments and contact information for clients",1,1,1,1,1,1,1,0,1
"System shall display clear property images in search results",1,1,1,1,1,1,1,0,1
"System shall handle all user requests/tasks during business hours",1,1,1,1,1,1,1,0,1
"System shall support 10 concurrent users from 9:00–17:00",1,1,1,1,1,1,1,0,1
"System shall manage all nursing students and classes for the next 10 years",1,1,1,1,1,1,1,0,1
"System shall manage nursing program curriculum and class/clinical scheduling for at least 5 years",1,1,1,1,1,1,1,0,1
"System shall operate in a typical office environment at DePaul University School of Nursing",1,1,1,1,1,1,1,0,1
"System shall conform to specifications of computers used by Program Managers/Nursing Staff",1,1,1,1,1,1,1,0,1
"A secondary database shall be used to store historical statistics and data",1,1,1,1,1,1,1,0,1
"System shall allow scheduling appointments by calling sellers or buyers",1,1,1,1,1,1,1,0,1
"After automatic synchronization of appointment system with office system, agent shall be informed of new client appointments",1,1,1,1,1,1,1,0,1
"Agent shall be able to receive a map showing property locations in a specific area",1,1,1,1,1,1,1,0,1
"System shall notify agent when seller or buyer responds to an appointment request",1,1,1,1,1,1,1,0,1
"Product shall allow user to save property search results",1,1,1,1,1,1,1,0,1
"System shall be easy to use by Program Managers/Nursing Staff",1,1,1,1,1,1,1,0,1
"All users shall be able to use the system after one day of training",1,1,1,1,1,1,1,0,1
"System shall help prevent errors in course and clinical scheduling for nursing students",1,1,1,1,1,1,1,0,1
"Number of errors recorded by students shall decrease by 50% in the first year",1,1,1,1,1,1,1,0,1
"System shall be intuitive for Program Managers/Nursing Staff",1,1,1,1,1,1,1,0,1
"2 out of 3 program managers/nursing staff shall successfully use system to manage class and clinical scheduling",1,1,1,1,1,1,1,0,1
"System shall use symbols and words naturally understandable by the user community",1,1,1,1,1,1,1,0,1
"Terminology in the system shall comply with Standard English and National Nursing Community standards",1,1,1,1,1,1,1,0,1
"Staff shall complete a set of tasks on time",1,1,1,1,1,1,1,0,1
"Response time for general student management tasks shall not exceed 5 seconds, and schedule creation time shall not exceed 30 seconds",1,1,1,1,1,1,1,0,1
"System shall be available from 8:00–18:00",1,1,1,1,1,1,1,0,1
"System shall run on Windows XP Professional operating system",1,1,1,1,1,1,1,0,1
"System shall interface with CampusConnect central server",1,1,1,1,1,1,1,0,1
"System shall interface with faculty central server",1,1,1,1,1,1,1,0,1
"System shall interface with student main server",1,1,1,1,1,1,1,0,1
"System shall be accessible via any HTML browser",1,1,1,1,1,1,1,0,1
"Only authorized users shall access clinical site information",1,1,1,1,1,1,1,0,1
"Program Managers/Nursing Staff shall be the only ones able to access clinical site details",1,1,1,1,1,1,1,0,1
"Only authorized users shall access students’ personal information",1,1,1,1,1,1,1,0,1
"Dr. Susan Poslusny and Dr. Julie Donalek shall be the only ones able to access students’ personal information",1,1,1,1,1,1,1,0,1
"Only authorized users shall access the system section interfacing with CampusConnect",1,1,1,1,1,1,1,0,1
"Fit criterion: Dr. Susan Poslusny and Karen Sysol shall be the only ones able to access final class section planning for the system interfacing with CampusConnect",1,1,1,1,1,1,1,0,1
"System shall provide basic data integrity checks to reduce the likelihood of incorrect or invalid data entry",1,1,1,1,1,1,1,0,1
"System shall protect sensitive information according to the organization’s information policy",1,1,1,1,1,1,1,0,1
"System shall be designed to be as secure as possible against malicious interventions",1,1,1,1,1,1,1,0,1
"System shall use the organization’s standard antivirus software to monitor for threats",1,1,1,1,1,1,1,0,1
"A cohort shall be associated with a single Program of Study offered by the department",1,1,1,1,1,1,1,0,1
"Program Managers and Nursing Staff shall be able to add a list of students to a cohort",1,1,1,1,1,1,1,0,1
"Program Managers and Nursing Staff shall be able to add a single student to a cohort",1,1,1,1,1,1,1,0,1
"Students added to a cohort shall comply with the cohort’s Program of Study",1,1,1,1,1,1,1,0,1
"Program Managers and Nursing Staff shall be able to define preferred course sequence for a cohort",1,1,1,1,1,1,1,0,1
"For each course in the cohort sequence, Program Managers and Nursing Staff shall define in which quarter the course will be offered",1,1,1,1,1,1,1,0,1
"Program Managers and Nursing Staff shall be able to add new courses to a course sequence",1,1,1,1,1,1,1,0,1
"Application updates shall be performed during NFL season midweek on Wednesday 03:00–06:00 CST",1,1,1,1,1,1,1,0,1
"New system releases shall be published at the start of each NFL season",1,1,1,1,1,1,1,0,1
"System shall display data from Sync Matrix 1.0 and Exercise Management Tool 1.0 applications",1,1,1,1,1,1,1,0,1
"System shall send activity data back to Sync Matrix 1.0 or Exercise Management Tool 1.0 applications",1,1,1,1,1,1,1,0,1
"System shall allow modifying the view",1,1,1,1,1,1,1,0,1
"System shall provide a view of all activities in the exercise",1,1,1,1,1,1,1,0,1
"System shall filter data by location and key activities",1,1,1,1,1,1,1,0,1
"System shall allow a user to define time segments",1,1,1,1,1,1,1,0,1
"System shall display local and exercise time separately",1,1,1,1,1,1,1,0,1
"System shall provide the ability to pause and resume data refresh",1,1,1,1,1,1,1,0,1
"System shall provide charts comparing actual time of activity versus default time",1,1,1,1,1,1,1,0,1
"RFS system shall be available 24/7 during budget period. Year-round availability shall be 90%, during budget period 98%. 2% availability shall be restored within 1 hour of reported outage",1,1,1,1,1,1,1,0,1
"98% of user workstations shall meet minimum hardware requirements prior to application. Minimum HDD space: 400MB",1,1,1,1,1,1,1,0,1
"98% of user workstations shall meet minimum software requirements prior to application: IE 5.0, .NET Framework 1.1, IE Web Controls",1,1,1,1,1,1,1,0,1
"RFS system shall easily interface with BDW environment. 7 data files shall be loaded into RFS system within 3 hours one day before budget process begins each year. Test files (7) shall be loaded 5 times during the year",1,1,1,1,1,1,1,0,1
"Changes in revenue and expense formulas shall be applied to RFS system before budget process begins. Formulas shall be updated within one week of receipt and 2 weeks allocated for testing",1,1,1,1,1,1,1,0,1
"New branches/complexes/regions and revenue/expense accounts added to BDW shall be reflected in RFS system before budget starts. All assets (as of end of October) shall be loaded",1,1,1,1,1,1,1,0,1
"Only authorized users shall access RFS system. Only users existing in UAS system and assigned RFS system role can access",1,1,1,1,1,1,1,0,1
"User access shall be limited to permissions granted by role. Each PCG hierarchy level is assigned a role and users are assigned to these roles. RFS system functionality depends on role permissions",1,1,1,1,1,1,1,0,1
"Product shall comply with ENET Securities intranet page standards and requirements. 95% of product appearance and feel shall be approved before deployment, remaining 5% corrected and approved within one month",1,1,1,1,1,1,1,0,1
"Intranet pages shall display properly at resolutions 800x600 and higher. 95% of pages shall display correctly, remaining 5% corrected within one week",1,1,1,1,1,1,1,0,1
"Users shall easily use system to successfully complete budgets within specified time. Before deployment, 98% of users shall complete budget after one week of training",1,1,1,1,1,1,1,0,1
"Product interface shall be fast. Response time shall not exceed 2 seconds for 90% of cases, 10 seconds for remaining 10%",1,1,1,1,1,1,1,0,1
"System shall use registered email addresses as primary communication tool",1,1,1,1,1,1,1,0,1
"System shall inform relevant parties for routine communications (courses offered, programs, etc.)",1,1,1,1,1,1,1,0,1
"System shall inform relevant parties of changes related to clinics (capacity changes, cancellations, etc.)",1,1,1,1,1,1,1,0,1
"System shall inform relevant parties of changes related to courses (cancellations, course detail changes, quarter-based course changes, etc.)",1,1,1,1,1,1,1,0,1
